,prod,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,POPIS,description
0,10121,1553094744.0,875600650.0,IRL,0.5637780009124801,0.19534655175964766,0.3934560795286141,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals"
1,10129,2159509655.0,905709379.0,DEU,0.4194051074988132,0.14941093092992783,0.19003062166901158,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals"
2,10130,1063355.0,552677.0,IRL,0.5197483436857869,0.08991030571371642,0.13680262970792245,"Osli, živí",Asses: live
3,10190,17406353.0,3038011.0,FRA,0.17453460813991306,0.40896471069015755,0.2136137251440303,Koně ostatní,Mules and hinnies: live
4,10221,1068129788.0,741787875.0,DEU,0.6944735399514951,0.062397056683631706,0.09722119769124045,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals"
5,10229,9048030690.0,4163319684.0000005,FRA,0.4601354511983867,0.09555351886995458,0.23177934496671423,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals"
6,10231,18538511.0,631383.0,NLD,0.03405791328116913,0.6194544964626779,0.19318794407899037,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals"
7,10239,99882887.0,1989890.0,FRA,0.019922231523003535,0.6747691700436501,0.27595015970680603,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals"
8,10290,293314411.0,74507994.0,FRA,0.2540209113694042,0.10431514324180519,0.33168874419445027,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo"
9,10310,185634202.0,134092625.0,DNK,0.7223487027460597,0.15094761421979577,0.24579917826233216,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals"
10,10391,2588242058.0,2405554519.0,DNK,0.9294163625711394,0.3900952603864967,0.44606646341674966,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
11,10392,2204944688.0,1404967361.0,NLD,0.6371893901222433,0.0984109429686867,0.10697278485963171,"Dobytek vepřový ostatní živý,nad 50kg","Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
12,10410,2342997180.0,764449293.0,ROU,0.3262698305936501,0.13672219881919584,0.2668269570302944,Ovce živé,Sheep: live
13,10420,541545544.0,8607918.0,ESP,0.01589509524244188,0.29842636624637475,0.13691304474259294,Kozy živé,Goats: live
14,10511,1817455897.0,952549971.0,NLD,0.5241117391471976,0.07997155648337154,0.12057339781917062,"Kohouti,slepice domácí živí,do 185g","Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g"
15,10512,180609672.0,109882462.0,FRA,0.6083974395346889,0.15520268765890846,0.29128290669993945,Krocani a krůty,"Poultry: live, turkeys, weighing not more than 185g"
16,10513,39812123.0,34383517.0,FRA,0.8636443979639066,0.17581775765255078,0.2262632695306173,"Kachny, živé, o hmotnosti <= 185 g","Poultry: live, ducks, weighing not more than 185g"
17,10514,5259445.0,4797795.0,POL,0.912224578829135,0.4481897814174387,0.5341220041037036,"Husy, živé, o hmotnosti <= 185 g","Poultry: live, geese, weighing not more than 185g"
18,10515,2608720.0,2152728.0,FRA,0.8252046980894845,0.6064122051464527,0.8690830347753019,"Perličky, živé, o hmotnosti <= 185 g","Poultry: live, guinea fowls, weighing not more than 185g"
19,10594,1457468651.0,1222159931.0,DEU,0.8385497212317056,0.15782090092998777,0.20797631292708516,"Kohouti,slepice domácí živí,nad 185g","Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g"
20,10599,311174177.0,249371161.0,POL,0.8013877096234756,0.11551913720016223,0.14955225867486668,"Kachny,husy,krocani,perličky ap domácí živí","Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
21,10611,353724003.0,39752047.0,FRA,0.11238153662984528,0.24835805727578822,0.49254887069623793,Primáti,"Mammals: live, primates"
22,10612,7433612.0,193044.0,DEU,0.02596907129400889,0.2620642648110042,0.6131274029684912,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí","Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
23,10613,303117760.0,679437.0,CZE,0.002241495186557198,0.253976167216136,0.17615085693507151,"Velbloudi a jiní velbloudovití, živí","Mammals: live, camels and other camelids (Camelidae)"
24,10614,38623954.0,30303206.0,NLD,0.7845702695275579,0.15933496409360048,0.2187778254810569,"Králíci a zajíci, živí","Mammals: live, rabbits and hares"
25,10619,298292114.0,139865530.0,FRA,0.46888778963831407,0.10988159313486977,0.1738933832556617,Domácí králíci,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
26,10620,67227119.0,17226680.0,DEU,0.2562459950128162,0.06380669395249974,0.24985295336411278,Plazi (včetně hadů a želv),Reptiles: live (including snakes and turtles)
27,10631,16376354.0,12385295.0,DEU,0.7562913576489614,0.12761482543188735,0.2072814422504439,Dravci,"Birds: live, birds of prey"
28,10632,21350261.0,9757741.0,CZE,0.45703146205097916,0.12219301313244876,0.15732798498778697,"Papouškovití (vč. papoušků, makaů apod)","Birds: live, Psittaciformes"
29,10633,613984.0,131013.0,BEL,0.21338178193568563,0.13653052675582206,0.2998365508440911,"Pštrosi, emuové, živí","Birds: live, ostriches: emus (Dromaius novaehollandiae)"
30,10639,44129816.0,19969574.0,BEL,0.4525188593580358,0.06349994179496292,0.20221444053492993,Holubi a ostatní ptáci j.n.,"Birds: live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
31,10641,84801299.0,40064712.0,SVK,0.4724539891776894,0.12743627097155916,0.22809774971906016,"Včely, živé","Insects: live, bees"
32,10649,238977943.0,140836501.0,NLD,0.5893284511198592,0.09515333577317603,0.21578236522932961,"Hmyz ostatní, živý","Insects: live, other than bees"
33,10690,257400667.0,145304619.0,NLD,0.5645075465169638,0.1217903813014862,0.2860062934794797,Ostatní živá zvířata j.n.,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
