HS_ID,Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST
871420,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
701939,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
560790,,,,LSE Navigator,OUT,,N,0.0400
441830,,,,LSE Navigator,OUT,,N,0.0400
630510,,,,LSE Navigator,OUT,,N,0.0400
530599,,,,LSE Navigator,OUT,,N,0.0400
530310,,,,LSE Navigator,OUT,,N,0.0400
840211,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,,N,0.0400
840212,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,,N,0.0400
841410,A05. Ukládání energie,A05b. Vodik a čpavek,Vodík (elektrolyzéry),LSE Navigator,IN,,N,0.0400
850433,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850432,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850434,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850431,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
730820,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,LSE Navigator,IN,0.0840,Y,0.0840
903210,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Termostaty,LSE Navigator,IN,,N,0.0400
902511,E01. Měřící a diagnostické přístroje; Monitoring,E01c. Měření okolního prostředí (HS9025),Termometry,LSE Navigator,IN,,N,0.0400
902519,E01. Měřící a diagnostické přístroje; Monitoring,E01c. Měření okolního prostředí (HS9025),Termometry,LSE Navigator,IN,,N,0.0400
903120,E01. Měřící a diagnostické přístroje; Monitoring,E01i. Ostatní,Ostatní,LSE Navigator,IN,,N,0.0400
860610,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
901580,E01. Měřící a diagnostické přístroje; Monitoring,E01h. Surveying / Zeměměřičství (HS 9015),Surveying / Zeměměřičství,LSE Navigator,IN,,N,0.0400
901530,E01. Měřící a diagnostické přístroje; Monitoring,E01h. Surveying / Zeměměřičství (HS 9015),Surveying / Zeměměřičství,LSE Navigator,IN,,N,0.0400
381511,"A01. Výroba, nízkoemisní výrobní postupy",A01a. Nízkoemisní výroba,Nízkoemisní výroby ostatní,LSE Navigator,IN,,N,0.0400
840220,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,,N,0.0400
840490,A05. Ukládání energie,A05b. Vodik a čpavek,Vodík (elektrolyzéry),LSE Navigator,IN,,N,0.0400
840619,A04. Výroba nízkoemisní elektřiny a paliv,A04g. Efektivní využití plynu a vodíku,Komponenty pro výrobu energie z plynů,LSE Navigator,IN,,N,0.0400
850440,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
902730,E01. Měřící a diagnostické přístroje; Monitoring,E01e. Chemická analýza (HS9027),Spektrometry,LSE Navigator,IN,,N,0.0400
