HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
41010,Adaptace na dlouhodobé změny a živelné pohromy,Nové zdroje potravin,Nové zdroje bílkovin,IN,"Hmyz, způsobilý k lidskému požívání",Insects,#205CF7,#002651
210610,Adaptace na dlouhodobé změny a živelné pohromy,Nové zdroje potravin,Nové zdroje bílkovin,IN,Koncentráty a látky texturované bílkovinné,Protein concentrates and textured protein substances,#205CF7,#002651
252390,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - stavební hmoty,IN,"Cement struskový,supersulfátový ap hydraulic.",Hydraulic cements except portland or aluminous,#99E9F4,#8093A8
260200,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy manganové,manganoželezné,koncentráty","Manganese ores, concentrates, iron ores >20% Manganes",#99E9F4,#D2F2E9
260300,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy měděné,koncentráty",Copper ores and concentrates,#99E9F4,#D2F2E9
260400,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy niklové,koncentráty",Nickel ores and concentrates,#99E9F4,#D2F2E9
260500,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy kobaltové,koncentráty",Cobalt ores and concentrates,#99E9F4,#D2F2E9
260600,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy hliníkové,koncentráty",Aluminium ores and concentrates,#99E9F4,#D2F2E9
260700,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy olovnaté,koncentráty",Lead ores and concentrates,#99E9F4,#D2F2E9
261210,Výroba nízkoemisní elektřiny a paliv,Jádro,Uran / jaderné technologie,IN,"Rudy uranové,koncentráty",Uranium ores and concentrates,#33D3E9,#FFE0A6
261400,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy titanové,koncentráty",Titanium ores and concentrates,#99E9F4,#D2F2E9
261690,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy drahých kovů(ne stříbrné),koncentráty",Precious metal ores and concentrates except silver,#99E9F4,#D2F2E9
280410,Ukládání energie,Vodik a čpavek,"Ostatní elektrické stroje, např. k výrobě vodíku / Vodík",IN,Vodík,Hydrogen,#FF976A,#FF7676
280461,Výroba nízkoemisní elektřiny a paliv,Solární,Křemík / FVE,IN,"Křemík,obsahující nad 99,99% křemíku","Silicon, >99.99% pure",#33D3E9,#A379FD
280469,Výroba nízkoemisní elektřiny a paliv,Solární,Křemík / FVE,IN,"Křemík,obsahující do 99,99% křemíku","Silicon, <99.99% pure",#33D3E9,#A379FD
280519,Ukládání energie,Baterie,Lithium / baterie,IN,"Lithium,draslík,rubidium,césium",Alkali metals other than sodium,#FF976A,#670000
280530,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Kovy vzácných zemin,skandium,yttrium,i smíš.","Rare-earth metals, scandium and yttrium",#99E9F4,#D2F2E9
281112,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Hydrogen cyanide ""hydrocyanic acid""",Hydrogen cyanide (hydrocyanic acid),#99E9F4,#D2F2E9
282010,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,Oxid manganičitý,Manganese dioxide,#99E9F4,#D2F2E9
282090,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,Oxidy manganu ostatní(ne manganičitý),Manganese oxides other than manganese dioxide,#99E9F4,#D2F2E9
